slug,display_name,image_mode,image_url,image_credit,image_license,image_source_page,notes
aardonyx,Aardonyx,silhouette,,,,,
abelichnus,Abelichnus,silhouette,,,,,
abelisaurus,Abelisaurus,silhouette,,,,,
abrictosaurus,Abrictosaurus,silhouette,,,,,
abrosaurus,Abrosaurus,silhouette,,,,,
abydosaurus,Abydosaurus,silhouette,,,,,
achelousaurus,Achelousaurus,silhouette,,,,,
acheroraptor,Acheroraptor,silhouette,,,,,
achillesaurus,Achillesaurus,silhouette,,,,,
achillobator,Achillobator,silhouette,,,,,
acristavus,Acristavus,silhouette,,,,,
acrocanthosaurus,Acrocanthosaurus,silhouette,,,,,
acrotholus,Acrotholus,silhouette,,,,,
adamantisaurus,Adamantisaurus,silhouette,,,,,
adasaurus,Adasaurus,silhouette,,,,,
adelolophus,Adelolophus,silhouette,,,,,
adeopapposaurus,Adeopapposaurus,silhouette,,,,,
aegyptosaurus,Aegyptosaurus,silhouette,,,,,
aeolosaurus,Aeolosaurus,silhouette,,,,,
aerosteon,Aerosteon,silhouette,,,,,
afrovenator,Afrovenator,silhouette,,,,,
agilisaurus,Agilisaurus,silhouette,,,,,
agnosphitys,Agnosphitys,silhouette,,,,,
agujaceratops,Agujaceratops,silhouette,,,,,
ahshislepelta,Ahshislepelta,silhouette,,,,,
ajancingenia,Ajancingenia,silhouette,,,,,
ajkaceratops,Ajkaceratops,silhouette,,,,,
alamosaurus,Alamosaurus,silhouette,,,,,
alaskacephale,Alaskacephale,silhouette,,,,,
albalophosaurus,Albalophosaurus,silhouette,,,,,
albertaceratops,Albertaceratops,silhouette,,,,,
albertadromeus,Albertadromeus,silhouette,,,,,
albertonykus,Albertonykus,silhouette,,,,,
albertosaurus,Albertosaurus,silhouette,,,,,
albinykus,Albinykus,silhouette,,,,,
alectrosaurus,Alectrosaurus,silhouette,,,,,
alioramus,Alioramus,silhouette,,,,,
allosaurus,Allosaurus,silhouette,,,,,
alnashetri,Alnashetri,silhouette,,,,,
altirhinus,Altirhinus,silhouette,,,,,
alvarezsaurus,Alvarezsaurus,silhouette,,,,,
alwalkeria,Alwalkeria,silhouette,,,,,
alxasaurus,Alxasaurus,silhouette,,,,,
amargasaurus,Amargasaurus,silhouette,,,,,
amazonsaurus,Amazonsaurus,silhouette,,,,,
ammosaurus,Ammosaurus,silhouette,,,,,
ampelosaurus,Ampelosaurus,silhouette,,,,,
amphicoelias,Amphicoelias,silhouette,,,,,
amtocephale,Amtocephale,silhouette,,,,,
amtosaurus,Amtosaurus,silhouette,,,,,
amurosaurus,Amurosaurus,silhouette,,,,,
amygdalodon,Amygdalodon,silhouette,,,,,
anabisetia,Anabisetia,silhouette,,,,,
anasazisaurus,Anasazisaurus,silhouette,,,,,
anatotitan,Anatotitan,silhouette,,,,,
anchiceratops,Anchiceratops,silhouette,,,,,
anchiornis,Anchiornis,silhouette,,,,,
anchisaurus,Anchisaurus,silhouette,,,,,
andesaurus,Andesaurus,silhouette,,,,,
angaturama,Angaturama,silhouette,,,,,
angolatitan,Angolatitan,silhouette,,,,,
angulomastacator,Angulomastacator,silhouette,,,,,
aniksosaurus,Aniksosaurus,silhouette,,,,,
