occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
130294,Protarchaeopteryx,omnivorous,small theropod,2.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Archaeopterygidae,protarchaeopteryx,protarchaeopteryx-130294,omnivorous,0.6,theropod,7.540000000000006,126.22999999999999,True,True,True,Liaoning,N,E,0.65,0.55,0.9,4,protarchaeopteryx,silhouette,,,,0.044862518089725044
130295,Caudipteryx,omnivorous,small theropod,1.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Caudipterygidae,caudipteryx,caudipteryx-130295,omnivorous,0.6,theropod,7.540000000000006,126.22999999999999,True,True,True,Liaoning,N,E,0.65,0.55,0.9,4,caudipteryx,silhouette,,,,0.015918958031837918
139242,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.528732,50.740726,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139242,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139250,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.549347,50.737015,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139250,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139252,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.564636,50.723866,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139252,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139253,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.525337,50.740471,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139253,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139254,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.601021,50.786999,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139254,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139255,Albertosaurus,carnivorous,large theropod,9.0,72.1,66.0,Alberta,-112.981903,51.8046,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139255,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139256,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Alberta,-112.981903,51.819099,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139256,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139257,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.818901,51.542702,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139257,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
