name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Aardonyx,aardonyx,Aardonyx,1,711596,herbivorous,sauropod,sauropod,8.0,201.3,190.8,196.05,10.5,Saurischia,,Free State,-28.466389,27.824444,1,True,True,True,3,0.35,0.8,0.25,aardonyx,0.2,0.21852387843704776,aardonyx,silhouette,,,
Abelichnus,abelichnus,Abelichnus,2,489956,unknown,,unknown,,99.6,93.5,96.55,6.099999999999994,Saurischia,,Mendoza,-39.5166835,-69.25,2,True,False,False,1,0.5,0.5,0.5,abelichnus,0.4,,abelichnus,silhouette,,,
Abelisaurus,abelisaurus,Abelisaurus,1,343835,carnivorous,large theropod,theropod,9.0,83.5,70.6,77.05,12.900000000000006,Saurischia,Abelisauridae,Río Negro,-38.76173,-67.982765,1,True,True,True,4,1.0,0.55,0.9,abelisaurus,1.0,0.2474674384949349,abelisaurus,silhouette,,,
Abrictosaurus,abrictosaurus,Abrictosaurus,1,645108,unknown,,unknown,,201.3,190.8,196.05,10.5,Ornithischia,Heterodontosauridae,Qacha's Nek,-30.064182,28.532604,1,True,False,False,2,0.5,0.5,0.5,abrictosaurus,0.4,,abrictosaurus,silhouette,,,
Abrosaurus,abrosaurus,Abrosaurus,1,939383,unknown,,unknown,,170.3,163.5,166.9,6.800000000000011,Saurischia,,Sichuan,29.411388,104.852501,1,True,False,False,1,0.5,0.5,0.5,abrosaurus,0.4,,abrosaurus,silhouette,,,
Abydosaurus,abydosaurus,Abydosaurus,1,850676,unknown,,unknown,,109.0,93.5,101.25,15.5,Saurischia,Brachiosauridae,Utah,40.440887,-109.305244,1,True,False,False,2,0.5,0.5,0.5,abydosaurus,0.4,,abydosaurus,silhouette,,,
Achelousaurus,achelousaurus,Achelousaurus,2,517456,herbivorous,ceratopsian,ceratopsian,6.0,83.6,70.6,77.44999999999999,12.200000000000003,Ornithischia,Ceratopsidae,Montana,48.800411,-113.19600700000001,1,True,True,True,4,0.35,0.85,0.45,achelousaurus,0.2,0.16063675832127353,achelousaurus,silhouette,,,
Acheroraptor,acheroraptor,Acheroraptor,1,1182422,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Saurischia,Dromaeosauridae,Montana,47.053055,-107.350281,1,True,False,False,2,0.5,0.5,0.5,acheroraptor,0.4,,acheroraptor,silhouette,,,
Achillesaurus,achillesaurus,Achillesaurus,1,782372,unknown,,unknown,,86.3,83.6,84.94999999999999,2.700000000000003,Saurischia,Alvarezsauridae,Río Negro,-39.117722,-67.632317,1,True,False,False,2,0.5,0.5,0.5,achillesaurus,0.4,,achillesaurus,silhouette,,,
Achillobator,achillobator,Achillobator,1,537891,carnivorous,large theropod,theropod,5.0,100.5,83.6,92.05,16.900000000000006,Saurischia,Dromaeosauridae,Dornogov,44.34,109.858887,1,True,True,True,4,1.0,0.55,0.9,achillobator,1.0,0.1316931982633864,achillobator,silhouette,,,
Acristavus,acristavus,Acristavus,2,995739,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Hadrosauridae,Montana,42.586283,-111.930527,2,True,False,False,2,0.5,0.5,0.5,acristavus,0.4,,acristavus,silhouette,,,
Acrocanthosaurus,acrocanthosaurus,Acrocanthosaurus,6,260040,carnivorous,large theropod,theropod,12.0,125.0,109.0,118.1225,12.0,Saurischia,Carcharodontosauridae,Oklahoma,34.18,-95.799305,3,True,True,True,4,1.0,0.55,0.9,acrocanthosaurus,1.0,0.33429811866859627,acrocanthosaurus,silhouette,,,
Acrotholus,acrotholus,Acrotholus,1,1135009,unknown,,unknown,,85.8,83.5,84.65,2.299999999999997,Ornithischia,Pachycephalosauridae,Alberta,49.083698,-111.436096,1,True,False,False,2,0.5,0.5,0.5,acrotholus,0.4,,acrotholus,silhouette,,,
Adamantisaurus,adamantisaurus,Adamantisaurus,1,508559,unknown,,unknown,,93.9,83.6,88.75,10.300000000000011,Saurischia,,São Paulo,-21.5667,-51.283298,1,True,False,False,1,0.5,0.5,0.5,adamantisaurus,0.4,,adamantisaurus,silhouette,,,
Adasaurus,adasaurus,Adasaurus,1,1350013,unknown,,unknown,,72.1,66.0,69.05,6.099999999999994,Saurischia,Dromaeosauridae,Omnogov,43.540001,99.599998,1,True,False,False,2,0.5,0.5,0.5,adasaurus,0.4,,adasaurus,silhouette,,,
Adelolophus,adelolophus,Adelolophus,1,1264057,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Hadrosauridae,Utah,37.599998,-111.900002,1,True,False,False,2,0.5,0.5,0.5,adelolophus,0.4,,adelolophus,silhouette,,,
Adeopapposaurus,adeopapposaurus,Adeopapposaurus,2,566942,unknown,,unknown,,201.3,174.1,187.7,27.200000000000017,Saurischia,Massospondylidae,San Juan,-30.5,-68.5,1,True,False,False,2,0.5,0.5,0.5,adeopapposaurus,0.4,,adeopapposaurus,silhouette,,,
Aegyptosaurus,aegyptosaurus,Aegyptosaurus,7,260830,herbivorous,sauropod,sauropod,15.0,145.0,93.5,96.55,6.099999999999994,Saurischia,,Matruh,28.420826,28.914782,3,True,True,True,3,0.35,0.8,0.25,aegyptosaurus,0.2,0.4211287988422577,aegyptosaurus,silhouette,,,
Aeolosaurus,aeolosaurus,Aeolosaurus,6,343961,unknown,,unknown,,83.6,66.0,74.775,17.549999999999997,Saurischia,,Río Negro,-31.162570000000002,-57.9872645,4,True,False,False,1,0.5,0.5,0.5,aeolosaurus,0.4,,aeolosaurus,silhouette,,,
Aerosteon,aerosteon,Aerosteon,1,819769,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Saurischia,Megaraptoridae,Mendoza,-37.134998,-69.330498,1,True,False,False,2,0.5,0.5,0.5,aerosteon,0.4,,aerosteon,silhouette,,,
Afrovenator,afrovenator,Afrovenator,1,829028,carnivorous,large theropod,theropod,9.0,174.1,145.0,159.55,29.099999999999994,Saurischia,Megalosauridae,Agadez,16.83333,6.53333,1,True,True,True,4,1.0,0.55,0.9,afrovenator,1.0,0.2474674384949349,afrovenator,silhouette,,,
Agilisaurus,agilisaurus,Agilisaurus,1,402860,herbivorous,ornithopod,ornithopod,1.5,170.3,163.5,166.9,6.800000000000011,Ornithischia,,Sichuan,29.411388,104.852501,1,True,True,True,3,0.35,0.6,0.75,agilisaurus,0.2,0.03039073806078148,agilisaurus,silhouette,,,
Agnosphitys,agnosphitys,Agnosphitys,1,261810,unknown,,unknown,,208.5,201.3,204.9,7.199999999999989,Saurischia,Guaibasauridae,England,51.623055,-2.428333,1,True,False,False,2,0.5,0.5,0.5,agnosphitys,0.4,,agnosphitys,silhouette,,,
Agujaceratops,agujaceratops,Agujaceratops,7,229342,unknown,,unknown,,83.5,66.0,77.05,12.900000000000006,Ornithischia,Ceratopsidae,Texas,29.225201,-103.25,1,True,False,False,2,0.5,0.5,0.5,agujaceratops,0.4,,agujaceratops,silhouette,,,
Ahshislepelta,ahshislepelta,Ahshislepelta,1,1206512,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ankylosauridae,New Mexico,47.676102,-112.914497,1,True,False,False,2,0.5,0.5,0.5,ahshislepelta,0.4,,ahshislepelta,silhouette,,,
Ajancingenia,ajancingenia,Ajancingenia,1,804050,unknown,,unknown,,83.6,72.1,77.85,11.5,Saurischia,Oviraptoridae,Omnogov,43.299999,99.599998,1,True,False,False,2,0.5,0.5,0.5,ajancingenia,0.4,,ajancingenia,silhouette,,,
Ajkaceratops,ajkaceratops,Ajkaceratops,1,867573,unknown,,unknown,,86.3,83.6,84.94999999999999,2.700000000000003,Ornithischia,,Veszprém,47.216702,17.6,1,True,False,False,1,0.5,0.5,0.5,ajkaceratops,0.4,,ajkaceratops,silhouette,,,
Alamosaurus,alamosaurus,Alamosaurus,27,463300,herbivorous,sauropod,sauropod,21.0,83.6,66.0,69.05,6.099999999999994,Saurischia,Saltasauridae,New Mexico,36.3148,-108.0485,3,True,True,True,4,0.35,0.8,0.25,alamosaurus,0.2,0.5947901591895803,alamosaurus,silhouette,,,
Alaskacephale,alaskacephale,Alaskacephale,1,521550,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Pachycephalosauridae,Alaska,69.91745,-151.194565,1,True,False,False,2,0.5,0.5,0.5,alaskacephale,0.4,,alaskacephale,silhouette,,,
Albalophosaurus,albalophosaurus,Albalophosaurus,1,343790,unknown,,unknown,,139.8,132.9,136.35000000000002,6.900000000000006,Ornithischia,,Ishikawa,36.166668,136.633331,1,True,False,False,1,0.5,0.5,0.5,albalophosaurus,0.4,,albalophosaurus,silhouette,,,
Albertaceratops,albertaceratops,Albertaceratops,2,641349,herbivorous,ceratopsian,ceratopsian,7.0,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ceratopsidae,Alberta,49.0330335,-110.7123795,2,True,True,True,4,0.35,0.85,0.45,albertaceratops,0.2,0.18958031837916064,albertaceratops,silhouette,,,
Albertadromeus,albertadromeus,Albertadromeus,1,1134765,unknown,,unknown,,83.6,72.1,77.85,11.5,Ornithischia,Thescelosauridae,Alberta,49.179443,-110.682777,1,True,False,False,2,0.5,0.5,0.5,albertadromeus,0.4,,albertadromeus,silhouette,,,
Albertonykus,albertonykus,Albertonykus,1,796106,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Saurischia,,Alberta,51.995834,-112.883331,1,True,False,False,1,0.5,0.5,0.5,albertonykus,0.4,,albertonykus,silhouette,,,
Albertosaurus,albertosaurus,Albertosaurus,24,139255,carnivorous,large theropod,theropod,9.0,100.5,66.0,77.05,12.900000000000006,Saurischia,Tyrannosauridae,Alberta,49.016649,-109.790428,10,True,True,True,4,1.0,0.55,0.9,albertosaurus,1.0,0.2474674384949349,albertosaurus,silhouette,,,
Albinykus,albinykus,Albinykus,1,920587,unknown,,unknown,,86.3,83.6,84.94999999999999,2.700000000000003,Saurischia,,Dornogov,44.393677,109.35318,1,True,False,False,1,0.5,0.5,0.5,albinykus,0.4,,albinykus,silhouette,,,
Alectrosaurus,alectrosaurus,Alectrosaurus,20,489800,carnivorous,large theropod,theropod,5.0,100.5,70.6,91.4,4.200000000000003,Saurischia,,Navoi,42.117294,64.40071900000001,7,True,True,True,3,1.0,0.55,0.9,alectrosaurus,1.0,0.1316931982633864,alectrosaurus,silhouette,,,
Alioramus,alioramus,Alioramus,3,831097,carnivorous,large theropod,theropod,6.0,72.1,66.0,69.05,6.099999999999994,Saurischia,Tyrannosauridae,Bayankhongor,43.0,100.386108,3,True,True,True,4,1.0,0.55,0.9,alioramus,1.0,0.16063675832127353,alioramus,silhouette,,,
Allosaurus,allosaurus,Allosaurus,103,149592,carnivorous,large theropod,theropod,12.0,163.5,89.3,151.15,12.300000000000011,Saurischia,Allosauridae,Wyoming,40.441387,-106.138054,13,True,True,True,4,1.0,0.55,0.9,allosaurus,1.0,0.33429811866859627,allosaurus,silhouette,,,
